english,pos,cefr,translation_tr,alt_translation_tr,disambiguation,warning
environment,noun,A2,çevre,,,
environmental,adjective,B1,çevresel,,,
epidemic,noun,C1,salgın,,,
episode,noun,B1,bölüm (dizi),,,
equal,adjective,B1,eşit,,bijvoeglijk naamwoord — zie ook equal (werkwoord) (the same in amount/value),
equal,verb,B1,eşit olmak,,"werkwoord — zie ook equal (bijvoeglijk) (to be the same as, add up to)",
equality,noun,C1,eşitlik,,,
equally,adverb,B1,eşit olarak,,,
equation,noun,C1,denklem,,,
equip,verb,B2,donatmak,,,
equipment,noun,A2,ekipman,,,
equivalent,noun,B2,eşdeğer,,zelfstandig naamwoord — zie ook equivalent (bijvoeglijk) (something equal in value/meaning),
equivalent,adjective,B2,eşdeğer,,bijvoeglijk naamwoord — zie ook equivalent (zelfstandig) (equal in value/meaning),
era,noun,B2,çağ,dönem,,
erect,verb,C1,dikmek,inşa etmek,,
error,noun,A2,hata,,,
erupt,verb,B2,patlamak,aniden başlamak,,
escalate,verb,C1,tırmanmak,yükseltmek,,
escape,verb,B1,kaçmak,,werkwoord — zie ook escape (zelfstandig naamwoord) (to get free),
escape,noun,B1,kaçış,,zelfstandig naamwoord — zie ook escape (werkwoord) (the act of getting free),
especially,adverb,A2,özellikle,,,
essay,noun,A2,deneme (yazı),,,
essence,noun,C1,öz,esas,,
essential,adjective,B1,gerekli (temel),,,
essentially,adverb,B2,esasen,temelde,,
establish,verb,B2,kurmak,,,
establishment,noun,C1,kuruluş,yerleşik düzen,,
estate,noun,B2,emlak,mülk,,
estimate,verb,B2,tahmin etmek,,werkwoord — zie ook estimate (zelfstandig naamwoord) (to calculate approximately),
estimate,noun,B2,tahmin,,zelfstandig naamwoord — zie ook estimate (werkwoord) (an approximate calculation),
eternal,adjective,C1,ebedi,sonsuz,,
ethic,noun,B2,ahlak ilkesi,etik,,
ethical,adjective,B2,etik,,,
ethnic,adjective,B2,etnik,,,
euro,noun,A1,avro,,,
evacuate,verb,C1,tahliye etmek,,,
evaluate,verb,B2,değerlendirmek,,,
evaluation,noun,B2,değerlendirme,,,
even,adverb,A1,hatta,,,
evening,noun,A1,akşam,,,
event,noun,A1,etkinlik,olay,,
eventually,adverb,B1,sonunda,,,
ever,adverb,A1,hiç,,,
every,determiner,A1,her,,,
everybody,pronoun,A1,herkes,,,
everyday,adjective,A2,günlük (sıradan),,,
everyone,pronoun,A1,herkes,,,
everything,pronoun,A1,her şey,,,
everywhere,adverb,A2,her yerde,,,
evidence,noun,A2,kanıt,,,
evident,adjective,B2,açık,belirgin,,
evil,adjective,B2,kötü (şeytani),,,
evoke,verb,C1,çağrıştırmak,uyandırmak,,
evolution,noun,B2,evrim,gelişim,,
evolutionary,adjective,C1,evrimsel,,,
evolve,verb,B2,evrilmek,gelişmek,,
exact,adjective,A2,tam,kesin,,
exactly,adverb,A2,tam olarak,,,
exaggerate,verb,C1,abartmak,,,
exam,noun,A1,sınav,,,
examination,noun,B2,sınav,muayene,,
examine,verb,B1,incelemek,muayene etmek,,
example,noun,A1,örnek,,,
exceed,verb,B2,aşmak,,,
excellence,noun,C1,mükemmellik,üstünlük,,
excellent,adjective,A2,mükemmel,,,
except,preposition,A2,hariç,,,
exception,noun,B2,istisna,,,
exceptional,adjective,C1,olağanüstü,istisnai,,
excess,noun,C1,fazlalık,,zelfstandig naamwoord — zie ook excess (bijvoeglijk) (an amount beyond what's needed),
excess,adjective,C1,fazla,,bijvoeglijk naamwoord — zie ook excess (zelfstandig) (more than needed),
excessive,adjective,B2,aşırı,,,
exchange,noun,B1,değişim (takas),,"zelfstandig naamwoord — zie ook exchange (werkwoord) (a trade, swap)",
exchange,verb,B1,değiş tokuş etmek,,"werkwoord — zie ook exchange (zelfstandig naamwoord) (to trade, swap)",
excited,adjective,A1,heyecanlı,,,
excitement,noun,B1,heyecan,,,
exciting,adjective,A1,heyecan verici,,,
exclude,verb,B2,hariç tutmak,dışlamak,,
exclusion,noun,C1,dışlama,hariç tutma,,
exclusive,adjective,C1,özel,münhasır,,
exclusively,adverb,C1,yalnızca,münhasıran,,
excuse,noun,B2,bahane,mazeret,zelfstandig naamwoord — zie ook excuse (werkwoord) (a reason given to explain a fault),
excuse,verb,B2,affetmek (mazur görmek),,"werkwoord — zie ook excuse (zelfstandig naamwoord) (to forgive, or to release from an obligation)",
execute,verb,C1,yürütmek,idam etmek,"taak uitvoeren, of executeren (doodstraf)",
execution,noun,C1,uygulama,idam,"het uitvoeren (van een taak), of executie",
executive,noun,B2,yönetici (üst düzey),,,
exercise,noun,A1,egzersiz,,"zelfstandig naamwoord — zie ook exercise (werkwoord) (physical activity, or a practice task)",
exercise,verb,A1,egzersiz yapmak,,werkwoord — zie ook exercise (zelfstandig naamwoord) (to do physical activity),
exert,verb,C1,uygulamak,sarf etmek,,
exhibit,verb,B2,sergilemek,,werkwoord — zie ook exhibit (zelfstandig naamwoord) (to display publicly),
exhibit,noun,B2,sergi öğesi,,zelfstandig naamwoord — zie ook exhibit (werkwoord) (an item on public display),
exhibition,noun,B1,sergi,,,
exile,noun,C1,sürgün,,,
exist,verb,A2,var olmak,,,
existence,noun,B2,varlık (var olma),,,
exit,noun,B1,çıkış,,zelfstandig naamwoord — zie ook exit (werkwoord) (a way out),
exit,verb,B2,çıkmak,,"werkwoord — zie ook exit (zelfstandig naamwoord) (to leave, go out)",
exotic,adjective,B2,egzotik,,,
expand,verb,B1,genişletmek,,,
expansion,noun,B2,genişleme,,,
expect,verb,A2,beklemek,,,
expectation,noun,B2,beklenti,,,
expected,adjective,B1,beklenen,,,
expedition,noun,B2,keşif gezisi,sefer,,
expenditure,noun,C1,harcama,,,
expense,noun,B2,masraf,,,
expensive,adjective,A1,pahalı,,,
experience,noun,A2,deneyim,,zelfstandig naamwoord — zie ook experience (werkwoord) (something lived through),
experience,verb,B1,deneyimlemek,,werkwoord — zie ook experience (zelfstandig naamwoord) (to live through),
experienced,adjective,B1,deneyimli,,,
experiment,noun,A2,deney,,zelfstandig naamwoord — zie ook experiment (werkwoord) (a scientific test),
experiment,verb,B1,deney yapmak,,werkwoord — zie ook experiment (zelfstandig naamwoord) (to test scientifically),
experimental,adjective,C1,deneysel,,,
expert,noun,A2,uzman,,,
expertise,noun,B2,uzmanlık,,,
expire,verb,C1,süresi dolmak,,,
explain,verb,A1,açıklamak,,,
explanation,noun,A2,açıklama,,,
explicit,adjective,C1,açık,net,,
explicitly,adverb,C1,açıkça,,,
explode,verb,B1,patlamak,,,
exploit,verb,B2,sömürmek,değerlendirmek,"misbruiken, of (een kans) benutten",
exploitation,noun,C1,sömürü,,,
exploration,noun,B2,keşif,,,
explore,verb,B1,keşfetmek,,,
explosion,noun,B1,patlama,,,
explosive,adjective,C1,patlayıcı,,bijvoeglijk naamwoord — zie ook explosive (zelfstandig) (able to explode),
explosive,noun,C1,patlayıcı madde,,zelfstandig naamwoord — zie ook explosive (bijvoeglijk) (a substance that can explode),
export,noun,B1,ihracat,,zelfstandig naamwoord — zie ook export (werkwoord) (a good sold abroad),
export,verb,B1,ihraç etmek,,werkwoord — zie ook export (zelfstandig naamwoord) (to sell/send abroad),
expose,verb,B2,maruz bırakmak,ifşa etmek,,
exposure,noun,B2,maruz kalma,teşhir,,
express,verb,A2,ifade etmek,,,
expression,noun,A2,ifade,,,
extend,verb,B2,uzatmak,genişletmek,,
extension,noun,B2,uzatma,dahili hat,,
extensive,adjective,B2,kapsamlı,geniş,,
extensively,adverb,B2,kapsamlı bir şekilde,,,
extent,noun,B2,kapsam (derece),,,
external,adjective,B2,dış (harici),,,
extra,adjective,A1,ekstra,fazladan,,
extract,noun,B2,alıntı,,zelfstandig naamwoord — zie ook extract (werkwoord) (a short passage taken from a text),
extract,verb,C1,çıkarmak,,werkwoord — zie ook extract (zelfstandig naamwoord) (to pull/take out),
extraordinary,adjective,B2,olağanüstü,,,
extreme,adjective,A2,aşırı,,,
extremely,adverb,A2,son derece,,,
extremist,noun,C1,aşırılıkçı,köktenci,,
eye,noun,A1,göz,,,
fabric,noun,B2,kumaş,,,
fabulous,adjective,B2,muhteşem,harika,,
face,noun,A1,yüz,,zelfstandig naamwoord — zie ook face (werkwoord) (the front of the head),
face,verb,B1,yüzleşmek,,"werkwoord — zie ook face (zelfstandig naamwoord) (to confront, deal with)",
facilitate,verb,C1,kolaylaştırmak,,,
facility,noun,B2,tesis,olanak,,
fact,noun,A1,gerçek (olgu),,,
faction,noun,C1,hizip,grup,,
factor,noun,A2,etken,faktör,,
factory,noun,A2,fabrika,,,
faculty,noun,B2,fakülte,,zelfstandig naamwoord (universiteitsafdeling) — zie ook faculty (vermogen),
faculty,noun,C1,yetenek,,"zelfstandig naamwoord (geestelijk vermogen, bv. ""his faculties"") — zie ook faculty (universiteit)",
fade,verb,C1,solmak,yavaş yavaş kaybolmak,,
fail,verb,A2,başarısız olmak,,,
failed,adjective,B2,başarısız,,,
failure,noun,B2,başarısızlık,,,
fair,adjective,A2,adil,,,
fairly,adverb,B1,oldukça,adil bir şekilde,,
fairness,noun,C1,adalet,dürüstlük,,
faith,noun,B2,inanç,güven,,
fake,adjective,B2,sahte,,,
fall,verb,A1,düşmek,,werkwoord — zie ook fall (zelfstandig naamwoord) (to drop down),
fall,noun,A1,sonbahar,,"zelfstandig naamwoord (het jaargetijde herfst, Am. Engels) — zie ook fall (val) (autumn)",
fall,noun,B1,düşüş,,zelfstandig naamwoord (een val/daling) — zie ook fall (herfst) (autumn),
false,adjective,A1,yanlış,sahte,,
fame,noun,B2,şöhret,ün,,
familiar,adjective,B1,tanıdık,aşina,,
family,noun,A1,aile,,,
famous,adjective,A1,ünlü,,,
fan,noun,A2,hayran,,zelfstandig naamwoord (bewonderaar) — zie ook fan (ventilator),
fan,noun,B1,vantilatör,,zelfstandig naamwoord (elektrische ventilator) — zie ook fan (bewonderaar),
fancy,adjective,B1,şık (gösterişli),,,
fantastic,adjective,A1,harika,,,
fantasy,noun,B2,fantezi,hayal,,
far,adverb,A1,uzak,,,
fare,noun,B2,ücret (yolculuk),bilet ücreti,,
farm,noun,A1,çiftlik,,zelfstandig naamwoord — zie ook farm (werkwoord) (land used for growing crops/raising animals),
farm,verb,A2,çiftçilik yapmak,,werkwoord — zie ook farm (zelfstandig naamwoord) (to grow crops/raise animals),
farmer,noun,A1,çiftçi,,,
farming,noun,A2,çiftçilik,,,
fascinating,adjective,B1,büyüleyici,,,
fashion,noun,A2,moda,,,
fashionable,adjective,B1,modaya uygun,,,
fast,adjective,A1,hızlı,,,
fasten,verb,B1,bağlamak (kemer vb.),,,
fat,adjective,A1,şişman,,bijvoeglijk naamwoord — zie ook fat (zelfstandig) (having a lot of body fat),
fat,noun,A2,yağ,,zelfstandig naamwoord — zie ook fat (bijvoeglijk) (the greasy substance in food/bodies),
fatal,adjective,C1,ölümcül,,,
fate,noun,C1,kader,alın yazısı,,
father,noun,A1,baba,,,
fault,noun,B2,kusur,suç (hata),,
favor,noun,B1,iyilik,,zelfstandig naamwoord — zie ook favor (werkwoord) (a kind act),
favor,verb,B2,tercih etmek,kayırmak,werkwoord — zie ook favor (zelfstandig naamwoord) (to prefer),
favorable,adjective,C1,olumlu,elverişli,,
favorite,adjective,A1,favori,,,
fear,noun,A2,korku,,zelfstandig naamwoord — zie ook fear (werkwoord) (a feeling of being afraid),
fear,verb,B1,korkmak,,werkwoord — zie ook fear (zelfstandig naamwoord) (to be afraid of),
feat,noun,C1,başarı,marifet,,
feather,noun,B2,tüy (kuş),,,
feature,noun,A2,özellik,,zelfstandig naamwoord — zie ook feature (werkwoord) (a distinctive part or quality),
feature,verb,B1,yer vermek (öne çıkarmak),,werkwoord — zie ook feature (zelfstandig naamwoord) (to include prominently),
federal,adjective,B1,federal,,,
fee,noun,B2,ücret,,,
feed,verb,A2,beslemek,,werkwoord — zie ook feed (zelfstandig naamwoord) (to give food to),
feed,noun,B2,yem,,zelfstandig naamwoord (dierenvoer) — zie ook feed (gegevensstroom) (animal food),
feed,noun,B2,akış,,"zelfstandig naamwoord (gegevens-/nieuwsstroom, bv. ""news feed"") — zie ook feed (dierenvoer) (animal food)",
feedback,noun,B2,geri bildirim,,,
feel,verb,A1,hissetmek,,"werkwoord — zie ook feel (zelfstandig naamwoord) (to sense, experience emotionally/physically)",
feel,noun,B2,his (doku),,"zelfstandig naamwoord — zie ook feel (werkwoord) (the texture, atmosphere of something)",
feeling,noun,A1,duygu,,,
fellow,adjective,B2,aynı gruptan,,,
felony,noun,C1,ağır suç,,,
female,adjective,A2,dişi,kadın,,
feminist,adjective,C1,feminist,,,
fence,noun,B1,çit,,,
festival,noun,A1,festival,,,
fever,noun,A2,ateş (hastalık),,,
few,determiner,A1,az sayıda,,,
fiber,noun,C1,lif,,,
fiction,noun,A2,kurgu (edebiyat),,,
field,noun,A2,tarla,,zelfstandig naamwoord (landbouwveld) — zie ook field (vakgebied),
field,noun,B1,alan,,zelfstandig naamwoord (vakgebied/domein) — zie ook field (landbouwveld),
fierce,adjective,C1,şiddetli,vahşi,,
fifteen,number,A1,on beş,,,
fifth,number,A1,beşinci,,,
fifty,number,A1,elli,,,
fight,verb,A2,kavga etmek,savaşmak,werkwoord — zie ook fight (zelfstandig naamwoord) (to struggle physically or verbally),
fight,noun,A2,kavga,,zelfstandig naamwoord — zie ook fight (werkwoord) (a physical struggle),
fighting,noun,B1,kavga (çatışma),,,
figure,verb,B2,düşünmek (anlamak),,"werkwoord — zie ook figure (zelfstandig naamwoord) (to work out, think)",
figure,noun,A2,rakam,,"zelfstandig naamwoord (getal) — zie ook figure (vorm) (a number, or a shape/person)",
figure,noun,A2,şekil,,"zelfstandig naamwoord (vorm/gedaante, bv. lichaamsfiguur) — zie ook figure (getal) (a number, or a shape/person)",
file,noun,B1,dosya,,zelfstandig naamwoord — zie ook file (werkwoord) (a folder of documents/data),
file,verb,B2,dosyalamak,,werkwoord — zie ook file (zelfstandig naamwoord) (to store documents/data),
fill,verb,A1,doldurmak,,,
film,noun,A2,film,,zelfstandig naamwoord — zie ook film (werkwoord) (a movie),
film,verb,A2,filme çekmek,,werkwoord — zie ook film (zelfstandig naamwoord) (to record with a camera),
filmmaker,noun,C1,film yapımcısı,yönetmen,,
filter,noun,C1,filtre,,zelfstandig naamwoord — zie ook filter (werkwoord) (a device that removes unwanted parts),
filter,verb,C1,filtrelemek,,werkwoord — zie ook filter (zelfstandig naamwoord) (to remove unwanted parts from),
final,adjective,A1,son,,"bijvoeglijk naamwoord — zie ook final (zelfstandig) (last, coming at the end)",
final,noun,A2,final (maç),,zelfstandig naamwoord — zie ook final (bijvoeglijk) (the last match of a competition),
finally,adverb,A2,sonunda,,,
finance,noun,B2,finans,,zelfstandig naamwoord — zie ook finance (werkwoord) (money management),
finance,verb,B2,finanse etmek,,werkwoord — zie ook finance (zelfstandig naamwoord) (to provide money for),
financial,adjective,B1,mali (finansal),,,
find,verb,A1,bulmak,,,
finding,noun,B2,bulgu,,,
fine,noun,C1,para cezası,,zelfstandig naamwoord — zie ook fine (werkwoord) (money paid as a penalty),
fine,verb,C1,para cezası kesmek,,werkwoord — zie ook fine (zelfstandig naamwoord) (to make pay money as a penalty),
fine,adjective,A1,iyi,,"bijvoeglijk naamwoord (goed, bv. ""I'm fine"") — zie ook fine (fijn) (good, satisfactory)",
fine,adjective,B1,ince,,"bijvoeglijk naamwoord (fijn/dun, bv. ""fine print""/fijn zand) — zie ook fine (goed) (good, satisfactory)",
finger,noun,A2,parmak,,,
finish,verb,A1,bitirmek,,,
fire,verb,A2,kovmak,,"werkwoord (ontslaan) — zie ook fire (met wapen schieten) (to dismiss from a job, or shoot a weapon)",
fire,verb,B1,ateş etmek,,"werkwoord (met een wapen schieten) — zie ook fire (ontslaan) (to dismiss from a job, or shoot a weapon)",
fire,noun,A1,ateş,,"zelfstandig naamwoord (het element vuur, bv. kampvuur) — zie ook fire (verwoestende brand) (flames, burning)",
fire,noun,B1,yangın,,"zelfstandig naamwoord (verwoestende brand) — zie ook fire (element vuur) (flames, burning)",
firearm,noun,C1,ateşli silah,,,
firefighter,noun,B2,itfaiyeci,,,
firework,noun,B2,havai fişek,,,
firm,adjective,B2,sağlam,kararlı,"(solid, steady)",
firm,noun,B2,firma,,(a company),
firmly,adverb,B2,sıkıca,kararlılıkla,,
first,number,A1,birinci,ilk,,
fiscal,adjective,C1,mali,,,
fish,noun,A1,balık,,zelfstandig naamwoord — zie ook fish (werkwoord) (the animal),
fish,verb,A2,balık tutmak,,werkwoord — zie ook fish (zelfstandig naamwoord) (to try to catch fish),
fishing,noun,A2,balıkçılık,,,
fit,verb,A2,uymak (bedene),,werkwoord — zie ook fit (bijvoeglijk) (to be the right size/shape for),
fit,noun,C1,uyum,,zelfstandig naamwoord (het passen/de match) — zie ook fit (aanval) (how well something matches in size/shape),
fit,noun,C1,nöbet,,zelfstandig naamwoord (medische aanval/stuip) — zie ook fit (het passen) (how well something matches in size/shape),
fit,adjective,A2,formda,,bijvoeglijk naamwoord (lichamelijk fit) — zie ook fit (geschikt) (physically healthy),
fit,adjective,B1,uygun,,"bijvoeglijk naamwoord (geschikt/passend, bv. ""fit for purpose"") — zie ook fit (lichamelijk fit) (physically healthy)",
fitness,noun,B1,fitness,zindelik,,
five,number,A1,beş,,,
fix,verb,A2,tamir etmek,,werkwoord — zie ook fix (zelfstandig naamwoord) (to repair),
fix,noun,B2,çözüm (tamir),,zelfstandig naamwoord — zie ook fix (werkwoord) (a solution to a problem),
fixed,adjective,B1,sabit,,,
flag,noun,B1,bayrak,,,
flame,noun,B2,alev,,,
flash,noun,B2,flaş,,zelfstandig naamwoord — zie ook flash (werkwoord) (a sudden brief burst of light),
flash,verb,B2,parlamak (ışık),,werkwoord — zie ook flash (zelfstandig naamwoord) (to shine briefly and suddenly),
flat,adjective,A2,düz,,,
flavor,noun,B2,tat,lezzet,,
flaw,noun,C1,kusur,,,
flawed,adjective,C1,kusurlu,,,
flee,verb,C1,kaçmak,,,
fleet,noun,C1,filo,,,
flesh,noun,C1,et (beden),,,
flexibility,noun,C1,esneklik,,,
flexible,adjective,B2,esnek,,,
flight,noun,A1,uçuş,,,
float,verb,B2,yüzmek (suda batmamak),,,
flood,noun,B1,sel,,zelfstandig naamwoord — zie ook flood (werkwoord) (an overflow of water),
flood,verb,B1,su basmak,,werkwoord — zie ook flood (zelfstandig naamwoord) (to overflow with water),
floor,noun,A1,zemin,,zelfstandig naamwoord (vloeroppervlak) — zie ook floor (verdieping),
floor,noun,B1,kat,,zelfstandig naamwoord (verdieping van een gebouw) — zie ook floor (vloeroppervlak),
flour,noun,B1,un,,,
flourish,verb,C1,gelişmek,serpilmek,,
flow,verb,B1,akmak,,werkwoord — zie ook flow (zelfstandig naamwoord) (to move steadily and continuously),
flow,noun,B1,akış,,zelfstandig naamwoord — zie ook flow (werkwoord) (a steady continuous movement),
flower,noun,A1,çiçek,,,
flu,noun,A2,grip,,,
fluid,noun,C1,sıvı,,,
fly,verb,A1,uçmak,,werkwoord — zie ook fly (zelfstandig naamwoord) (to move through the air),
fly,noun,A2,sinek,,zelfstandig naamwoord — zie ook fly (werkwoord) (the insect),
flying,adjective,A2,uçan,,,
focus,verb,A2,odaklanmak,,werkwoord — zie ook focus (zelfstandig naamwoord) (to concentrate attention on),
focus,noun,A2,odak,,zelfstandig naamwoord — zie ook focus (werkwoord) (the main point of attention),
fold,verb,B1,katlamak,,werkwoord — zie ook fold (zelfstandig naamwoord) (to bend part of something over itself),
fold,noun,B2,kıvrım (katlanmış kısım),,"zelfstandig naamwoord — zie ook fold (werkwoord) (a crease, a folded part)",
folding,adjective,B2,katlanır,,,
folk,noun,B1,halk,,,
follow,verb,A1,takip etmek,,,
following,adjective,A2,aşağıdaki (sonraki),,,
fond,adjective,B2,düşkün,meraklı,,
food,noun,A1,yiyecek,,,
fool,noun,B2,aptal,budala,,informeel — kan als belediging worden opgevat
foot,noun,A1,ayak,,,
footage,noun,C1,görüntü (video),kayıt,,
football,noun,A1,futbol,,,
for,preposition,A1,için,,,
forbid,verb,B2,yasaklamak,,,
force,noun,B1,güç,kuvvet,"zelfstandig naamwoord — zie ook force (werkwoord) (power, strength)",
force,verb,B1,zorlamak,,werkwoord — zie ook force (zelfstandig naamwoord) (to make someone do something against their will),
forecast,noun,B2,tahmin,,"zelfstandig naamwoord — zie ook forecast (werkwoord) (a prediction, especially of weather)",
forecast,verb,B2,tahmin etmek,,"werkwoord — zie ook forecast (zelfstandig naamwoord) (to predict, especially weather)",
foreign,adjective,A2,yabancı,,,
foreigner,noun,C1,yabancı,,,
forest,noun,A2,orman,,,
forever,adverb,B1,sonsuza dek,,,
forge,verb,C1,sahte yapmak,şekillendirmek,"vervalsen, of vormgeven/smeden",
forget,verb,A1,unutmak,,,
forgive,verb,B2,affetmek,,,
fork,noun,A2,çatal,,,
form,verb,A1,oluşturmak,,"werkwoord — zie ook form (zelfstandig naamwoord) (to create, come into being)",
form,noun,A1,form,,"zelfstandig naamwoord (in te vullen document) — zie ook form (vorm) (a shape, or a document to fill in)",
form,noun,A1,şekil,,"zelfstandig naamwoord (vorm/gedaante) — zie ook form (document) (a shape, or a document to fill in)",
formal,adjective,A2,resmi,,,
format,noun,B2,biçim,format,,
formation,noun,B2,oluşum,düzen,,
former,adjective,B2,eski (önceki),,,
formerly,adverb,B2,eskiden,,,
formula,noun,C1,formül,,,
formulate,verb,C1,formüle etmek,ifade etmek,,
forth,adverb,C1,ileri,,,
forthcoming,adjective,C1,yaklaşan,,"bijvoeglijk naamwoord (aanstaand, bv. een aankomend evenement) — zie ook forthcoming (openhartig)",
forthcoming,adjective,C1,içten,,"bijvoeglijk naamwoord (openhartig/mededeelzaam, over een persoon) — zie ook forthcoming (aanstaand)",
fortunate,adjective,B2,şanslı,talihli,,
fortunately,adverb,A2,neyse ki,,,
fortune,noun,B2,servet,,zelfstandig naamwoord (rijkdom) — zie ook fortune (lot/geluk),
fortune,noun,C1,talih,,zelfstandig naamwoord (lot/geluk) — zie ook fortune (rijkdom),
forty,number,A1,kırk,,,
forum,noun,B2,forum,,,
forward,adverb,A2,ileri,,,
fossil,noun,B2,fosil,,,
foster,verb,C1,teşvik etmek,geliştirmek,,
found,verb,B2,kurmak (tesis etmek),,,
foundation,noun,B2,temel,,zelfstandig naamwoord (fundament/basis) — zie ook foundation (stichting),
foundation,noun,C1,vakıf,,zelfstandig naamwoord (liefdadigheidsstichting) — zie ook foundation (fundament),
founder,noun,B2,kurucu,,,
four,number,A1,dört,,,
fourteen,number,A1,on dört,,,
fourth,number,A1,dördüncü,,,
fraction,noun,B2,kesir,küçük bir kısım,,
fragile,adjective,C1,kırılgan,narin,,
fragment,noun,B2,parça,kırıntı,,
frame,noun,B1,çerçeve,,zelfstandig naamwoord — zie ook frame (werkwoord) (a border/support structure),
frame,verb,B1,çerçevelemek,,werkwoord — zie ook frame (zelfstandig naamwoord) (to put a border/support around),
framework,noun,B2,çerçeve,,,
franchise,noun,C1,bayilik,imtiyaz,,
frankly,adverb,C1,açıkçası,,,
fraud,noun,B2,dolandırıcılık,sahtekârlık,,
free,adjective,A1,ücretsiz,özgür,,
freedom,noun,B2,özgürlük,,,
freely,adverb,B2,özgürce,serbestçe,,
freeze,verb,B1,dondurmak,donmak,,
frequency,noun,B2,sıklık,frekans,,
frequent,adjective,B2,sık,,,
frequently,adverb,B1,sık sık,,,
fresh,adjective,A2,taze,,,
freshman,noun,C1,birinci sınıf öğrencisi,,,
friend,noun,A1,arkadaş,,,
friendly,adjective,A1,dostane,,,
friendship,noun,B1,arkadaşlık,,,
frighten,verb,B1,korkutmak,,,
frightened,adjective,B1,korkmuş,,,
frightening,adjective,B1,korkutucu,,,
frog,noun,A2,kurbağa,,,
from,preposition,A1,-den,,,
front,noun,A1,ön,,,
frozen,adjective,B1,donmuş,,,
fruit,noun,A1,meyve,,,
frustrated,adjective,C1,hayal kırıklığına uğramış,,,
frustrating,adjective,C1,sinir bozucu,,,
frustration,noun,C1,hayal kırıklığı,,,
fry,verb,B1,kızartmak,,,
fuel,noun,B1,yakıt,,zelfstandig naamwoord — zie ook fuel (werkwoord) (material burned for energy),
fuel,verb,B2,yakıt sağlamak,,werkwoord — zie ook fuel (zelfstandig naamwoord) (to supply with fuel),
fulfill,verb,B2,yerine getirmek,gerçekleştirmek,,
full,adjective,A1,dolu,,,
full-time,adjective,B2,tam zamanlı,,,
fully,adverb,B2,tamamen,,,
fun,noun,A1,eğlence,,zelfstandig naamwoord — zie ook fun (bijvoeglijk) (enjoyment),
fun,adjective,A2,eğlenceli,,bijvoeglijk naamwoord — zie ook fun (zelfstandig) (enjoyable),
function,noun,B1,işlev,fonksiyon,"zelfstandig naamwoord — zie ook function (werkwoord) (a purpose, role)",
function,verb,B2,işlev görmek,,"werkwoord — zie ook function (zelfstandig naamwoord) (to work, operate)",
functional,adjective,C1,işlevsel,,,
fund,noun,B2,fon,,zelfstandig naamwoord — zie ook fund (werkwoord) (a sum of money set aside),
fund,verb,B2,finanse etmek,,werkwoord — zie ook fund (zelfstandig naamwoord) (to provide money for),
fundamental,adjective,B2,temel,,,
fundamentally,adverb,B2,temelde,,,
funding,noun,B2,finansman,,,
fundraising,noun,C1,bağış toplama,,,
funeral,noun,C1,cenaze,,,
funny,adjective,A1,komik,,,
fur,noun,B1,kürk,,,
furious,adjective,B2,çok öfkeli,kızgın,,
furniture,noun,A2,mobilya,,,
further,adjective,A2,daha fazla (ileri),,,
furthermore,adverb,B2,ayrıca (dahası),,,
future,noun,A1,gelecek,,,
gain,verb,B2,kazanmak,,"werkwoord — zie ook gain (zelfstandig naamwoord) (to get more of, obtain)",
gain,noun,B2,kazanç,,"zelfstandig naamwoord — zie ook gain (werkwoord) (an increase, profit)",
gallery,noun,A2,galeri,,,
gallon,noun,B2,galon,,"Amerikaans-Engelse maateenheid (~3,79 liter)",
gambling,noun,C1,kumar,,,
game,noun,A1,oyun,,,
gaming,noun,B2,oyun oynama,,zelfstandig naamwoord (het gamen zelf) — zie ook gaming (industrie),
gaming,noun,C1,oyun sektörü,,zelfstandig naamwoord (de gamingindustrie) — zie ook gaming (het gamen),
gang,noun,B2,çete,,,
gap,noun,A2,boşluk,açık (fark),,
garage,noun,B1,garaj,,,
garbage,noun,A2,çöp,,,
garden,noun,A1,bahçe,,,
gas,noun,A2,gaz,,zelfstandig naamwoord (de stof/aggregatietoestand) — zie ook gas (benzine),
gas,noun,B1,benzin,,"zelfstandig naamwoord (benzine, Am. Engels) — zie ook gas (de stof)",
gate,noun,A2,kapı (bahçe/havalimanı),,,
gather,verb,B1,toplanmak,toplamak,,
gathering,noun,C1,toplantı,toplanma,,
gay,adjective,B2,eşcinsel,,,
gaze,noun,C1,bakış,,zelfstandig naamwoord — zie ook gaze (werkwoord) (a long steady look),
gaze,verb,C1,gözünü dikip bakmak,,werkwoord — zie ook gaze (zelfstandig naamwoord) (to look steadily for a long time),
gear,noun,C1,donanım,,zelfstandig naamwoord (uitrusting/spullen) — zie ook gear (versnelling),
gear,noun,C1,vites,,zelfstandig naamwoord (versnelling van een auto) — zie ook gear (uitrusting),
gender,noun,B2,cinsiyet,toplumsal cinsiyet,,
gene,noun,B2,gen,,,
general,adjective,A2,genel,,,
generally,adverb,B1,genellikle,,,
generate,verb,B2,üretmek (oluşturmak),,,
generation,noun,B1,nesil,,,
generic,adjective,C1,jenerik,genel,,
generous,adjective,B1,cömert,,,
genetic,adjective,B2,genetik,,,
genius,noun,B2,deha,dahi,,
genocide,noun,C1,soykırım,,,
genre,noun,B2,tür (edebiyat/müzik),,,
gentle,adjective,B1,nazik,yumuşak,,
gentleman,noun,B1,beyefendi,,,
genuine,adjective,B2,gerçek,hakiki,,
